Cod;Funcionario;Entidad;Nivel Información ;Frecuencia actualizacion ;TipoDato;Actas de acercamiento y manifestación de interés;Suscripción acuerdo de compromiso;Entrega acuerdo de compromiso;Acuerdo de compromiso;Gestion acceso a los datos y documentos requeridos ; Análisis de información;Cronograma Concertado;Análisis y cronograma (fecha programada);Fecha de entrega de información;Plazo de análisis;Análisis de información;Plazo de cronograma;Análisis y cronograma;Seguimiento a los acuerdos;Estándares (fecha programada);Registro (completo);ET (completo);CO (completo);DD (completo);REC (completo);SERVICIO (completo);Estándares;Resultados de orientación técnica;Verificación del servicio web geográfico;Verificar Aprobar Resultados;Revisar y validar los datos cargados en la base de datos;Aprobación resultados obtenidos en la rientación;Disponer datos temáticos;Fecha de publicación programada;Publicación;Catálogo de recursos geográficos;Plazo de oficio de cierre;Oficios de cierre;Fecha de oficio de cierre;Estado;Observación;Porcentaje Avance;Estado Fechas
23;Diana Constanza Carvajal Peña;Instituto Distrital de Protección y Bienestar Animal-IDPYBA;Urgencia Veterinaria ;Semestral;Actualizar;Si;31/03/2025;31/03/2025;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;Si;;;;;
24;Diana Constanza Carvajal Peña;Instituto Distrital de Protección y Bienestar Animal-IDPYBA;Brigada Médica ;Semestral;Nuevo;Si;31/03/2025;31/03/2025;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
25;Diana Constanza Carvajal Peña;Instituto Distrital de Protección y Bienestar Animal-IDPYBA;Esterilización ;Semestral;Nuevo;Si;31/03/2025;31/07/2025;Si;No;No;No;;;;No;;;No;;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
26;Diego Harvey Marín Rodríguez;Caja de la Vivienda Popular - CVP;Reasentamiento humaNo;Semestral;Actualizar;Si;26/06/2024;26/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;Completo;;Si;Si;Si;;Si;No;;;No;26/05/2025;No;;;;;
27;Diego Harvey Marín Rodríguez;Caja de la Vivienda Popular - CVP;Titulación Predial;Semestral;Actualizar;Si;26/06/2024;26/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;Completo;;Si;No;Si;;Si;No;;;No;26/05/2025;No;;;;;
28;Diego Harvey Marín Rodríguez;Caja de la Vivienda Popular - CVP;Mejoramiento de barrios;Semestral;Actualizar;Si;26/06/2024;26/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;Completo;;Si;Si;Si;;Si;No;;;No;26/05/2025;No;;;;;
29;Diego Harvey Marín Rodríguez;Caja de la Vivienda Popular - CVP;Mejoramiento de vivienda - Plan Terrazas;Semestral;Actualizar;Si;26/06/2024;26/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;Completo;;Si;Si;Si;;Si;No;;;No;26/05/2025;No;;;;;
;Diego Harvey Marín Rodríguez;Caja de la Vivienda Popular - CVP;Tramite Curaduría Pública Social ;Semestral;Actualizar;;;;;Si;Si;Si;;;;Si;;;Si;;Sin iniciar;Completo;Completo;Completo;Completo;Completo;;Si;Si;Si;;Si;No;;;No;26/05/2025;No;;;;;
30;Diana Constanza Carvajal Peña;Fondo de Prestaciones Económicas, Censantías y Pensiones - FONCEP;PenSionados Activos del Fondo de Pensiones Públicas de Bogotá FONCEP;Semestral;Actualizar;Si;31/07/2024;31/07/2023;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;Completo;;Si;Si;Si;Si;Si;No;;;Si;31/03/2025;Si;;;Terminado;;
31;Diego Harvey Marín Rodríguez;Secretaría Distrital de Seguridad, Convivencia y Justicia-SDSCJ;Comando de Atención Inmediata;Semestral;Actualizar;Si;3/07/2024;30/06/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;Completo;;Si;Si;Si;;Si;No;;;No;26/05/2025;No;;;;;
32;Diego Harvey Marín Rodríguez;Secretaría Distrital de Seguridad, Convivencia y Justicia-SDSCJ;Cárcel;Semestral;Actualizar;Si;3/07/2024;30/06/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;Completo;;Si;Si;Si;;Si;No;;;No;26/05/2025;No;;;;;
33;Diego Harvey Marín Rodríguez;Secretaría Distrital de Seguridad, Convivencia y Justicia-SDSCJ;Casa de Justicia;Semestral;Actualizar;Si;3/07/2024;30/06/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;Completo;;Si;Si;Si;;Si;No;;;No;26/05/2025;No;;;;;
34;Diego Harvey Marín Rodríguez;Secretaría Distrital de Seguridad, Convivencia y Justicia-SDSCJ;Centro de Comando, Control, Comunicaciones y Cómputo de Bogotá - C4;Semestral;Actualizar;Si;3/07/2024;30/06/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;Completo;;Si;Si;Si;;Si;No;;;No;26/05/2025;No;;;;;
35;Diego Harvey Marín Rodríguez;Secretaría Distrital de Seguridad, Convivencia y Justicia-SDSCJ;Centro de Traslado por Protección;Semestral;Actualizar;Si;3/07/2024;30/06/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;Completo;;Si;Si;Si;;Si;No;;;No;26/05/2025;No;;;;;
36;Diego Harvey Marín Rodríguez;Secretaría Distrital de Seguridad, Convivencia y Justicia-SDSCJ;Comando Operativo de Seguridad Ciudadana;Semestral;Actualizar;Si;3/07/2024;30/06/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;Completo;;Si;Si;Si;;Si;No;;;No;26/05/2025;No;;;;;
37;Diego Harvey Marín Rodríguez;Secretaría Distrital de Seguridad, Convivencia y Justicia-SDSCJ;Centro de Atención a Víctimas;Semestral;Actualizar;Si;3/07/2024;30/06/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;Completo;;Si;Si;Si;;Si;No;;;No;26/05/2025;No;;;;;
38;Diego Harvey Marín Rodríguez;Secretaría Distrital de Seguridad, Convivencia y Justicia-SDSCJ;Cuadrante de Policía;Semestral;Actualizar;Si;3/07/2024;30/06/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;Completo;;Si;Si;Si;;Si;No;;;No;26/05/2025;No;;;;;
39;Diego Harvey Marín Rodríguez;Secretaría Distrital de Seguridad, Convivencia y Justicia-SDSCJ;Delito de Alto Impacto;Mensual;Actualizar;Si;3/07/2024;30/06/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;Completo;;Si;Si;Si;;Si;No;;;No;26/05/2025;No;;;;;
40;Diego Harvey Marín Rodríguez;Secretaría Distrital de Seguridad, Convivencia y Justicia-SDSCJ;Estación de Policía;Semestral;Actualizar;Si;3/07/2024;30/06/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;Completo;;Si;Si;Si;;Si;No;;;No;26/05/2025;No;;;;;
41;Diego Harvey Marín Rodríguez;Secretaría Distrital de Seguridad, Convivencia y Justicia-SDSCJ;Incidente Reportado;Mensual;Actualizar;Si;3/07/2024;30/06/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;Completo;;Si;Si;Si;;Si;No;;;No;26/05/2025;No;;;;;
43;Diego Harvey Marín Rodríguez;Secretaría Distrital de Seguridad, Convivencia y Justicia-SDSCJ;Medida Correctiva;Mensual;Actualizar;Si;3/07/2024;30/06/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;Completo;;Si;Si;Si;;Si;No;;;No;26/05/2025;No;;;;;
44;Diego Harvey Marín Rodríguez;Secretaría Distrital de Seguridad, Convivencia y Justicia-SDSCJ;Sala de Atención al Usuario;Semestral;Actualizar;Si;3/07/2024;30/06/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;Completo;;Si;Si;Si;;Si;No;;;No;26/05/2025;No;;;;;
45;Diego Harvey Marín Rodríguez;Secretaría Distrital de Seguridad, Convivencia y Justicia-SDSCJ;Sistema de Responsabilidad Penal para Adolescentes;Semestral;Actualizar;Si;3/07/2024;30/06/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;Completo;;Si;Si;Si;;Si;No;;;No;26/05/2025;No;;;;;
46;Diego Harvey Marín Rodríguez;Secretaría Distrital de Seguridad, Convivencia y Justicia-SDSCJ;Unidad de Reacción Inmediata;Semestral;Actualizar;Si;3/07/2024;30/06/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;Completo;;Si;Si;Si;;Si;No;;;No;26/05/2025;No;;;;;
47;Luz Carolina Huertas/Martha Vargas;Unidad Administrativa Especial de Catastro Distrital UAECD;Mediana del valor total catastral por manzana;Anual;Nuevo;Si;21/04/2025;30/05/2025;Si;No;No;No;;;;No;;;No;;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
48;Luz Carolina Huertas/Martha Vargas;Unidad Administrativa Especial de Catastro Distrital UAECD;Mediana de valor total catastral por grupo económico;Anual;Nuevo;Si;21/04/2025;30/05/2025;Si;No;No;No;;;;No;;;No;;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
49;Luz Carolina Huertas/Martha Vargas;Unidad Administrativa Especial de Catastro Distrital UAECD;DenSidad de predios (RASTER);Anual;Nuevo;Si;21/04/2025;30/08/2025;Si;No;No;No;;;;No;;;No;;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
50;Luz Carolina Huertas/Martha Vargas;Unidad Administrativa Especial de Catastro Distrital UAECD;DenSidad de predios por condición jurídica (RASTER);Anual;Nuevo;Si;21/04/2025;30/08/2025;Si;No;No;No;;;;No;;;No;;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
51;Luz Carolina Huertas;Unidad Administrativa Especial de Catastro Distrital UAECD;Mediana del valor de referencia de terreno por Manzana;Anual;Actualizar;Si;21/04/2025;30/05/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;Aparece ultima actualización 01/05/2024;;
52;Luz Carolina Huertas;Unidad Administrativa Especial de Catastro Distrital UAECD;Mediana del valor integral m² por manzana;Anual;Actualizar;Si;21/04/2025;30/05/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
53;Luz Carolina Huertas;Unidad Administrativa Especial de Catastro Distrital UAECD;Mediana del valor integral m² por grupo económico;Anual;Actualizar;Si;21/04/2025;30/05/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
54;Luz Carolina Huertas;Unidad Administrativa Especial de Catastro Distrital UAECD;Uso catastral predominante por manzana;Anual;Actualizar;Si;21/04/2025;30/07/2025;Si;No;No;No;;;;No;;;No;;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Luz Carolina Huertas;Unidad Administrativa Especial de Catastro Distrital UAECD;Variación área construida por manzana;Anual;Actualizar;Si;21/04/2025;30/07/2025;;No;No;No;;;;No;;;No;;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Luz Carolina Huertas;Unidad Administrativa Especial de Catastro Distrital UAECD;Número de pisos ponderado por manzana ;Anual;Actualizar;Si;21/04/2025;30/08/2025;;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
55;Leila Awad Cortés;Jardin Botánico de Bogota- JBB;Arbolado UrbaNo;Mensual;Actualizar;Si;15/05/2025;30/06/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
56;Leila Awad Cortés;Jardin Botánico de Bogota- JBB;Jardinería en Espacio Público de Uso Público;Anual;Actualizar;Si;15/05/2025;6/06/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
57;Leila Awad Cortés;Jardin Botánico de Bogota- JBB;Árbol Patrimonial o de Interés Público;Anual;Actualizar;Si;15/05/2025;6/06/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;;Jardin Botánico de Bogota- JBB;Huerta de Agricultura Urbana;Anual;Actualizar;Si;15/05/2025;6/06/2025;Si;No;No;No;;;;No;;;No;;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
58;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Proyecto de Vivienda con Oferta Disponible;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;;No;;;;;
59;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Vivienda Habilitada;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;En proceso;Completo;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;;No;;;;;
60;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Predio Declarado de Construcción y Desarrollo Prioritario;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;;No;;;;;
61;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Infraestructura de Acueducto y Alcantarillado Comunitario;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;;No;;;;;
62;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Área de Prestación de Servicio;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;En proceso;Completo;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;;No;;;;;
63;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Barrio en Proceso de Legalización;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;;No;;;;;
64;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Barrio en Proceso de Regularización;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;;No;;;;;
65;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Estrategias InNovación Fortalecimiento Social;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;En proceso;Completo;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;;No;;;;;
66;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Macroterritorio;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;;No;;;;;
67;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Territorio Priorizado de Mejoramiento;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;;No;;;;;
68;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Mejoramiento Vivienda Habitabilidad;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;;No;;;;;
69;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Intervención Lineal de Mejoramiento EntorNo;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Sin iniciar;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;;No;;;;;
;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Intervención Poliginal de Mejoramiento EntorNo;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Sin iniciar;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;;No;;;;;
70;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Territorio de TranSición;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;;No;;;;;
71;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Hogar Estructurado Plan Terrazas;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;;No;;;;;
72;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;PolígoNo de Monitoreo;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Sin iniciar;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;;No;;;;;
73;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Ocupación Ilegal;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Sin iniciar;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;;No;;;;;
74;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Proyecto de Vivienda con Permiso de Enajenación;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Sin iniciar;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;;No;;;;;
;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Proyecto con SubSidio de Vivienda Otorgados;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Sin iniciar;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;;No;;;;;
;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Hogar con SubSidio de Vivienda Otorgado;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;En proceso;Sin iniciar;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;;No;;;;;
75;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;SubSidio Arriendo TranSitorio;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Sin iniciar;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;;No;;;;;
76;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;SubSidio Mi Ahorro Mi Hogar;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Sin iniciar;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;;No;;;;;
77;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Proyecto de Vivienda Inscrito en Mesa de Soluciones;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Sin iniciar;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;;No;;;;;
78;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;SubSidio de Vivienda Rural;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Sin iniciar;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;30/06/2025;No;;;;;
79;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Macroterritorio Rural;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;30/06/2025;No;;;;;
80;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Microterritorio Rural;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;Completo;Completo;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;30/06/2025;No;;;;;
81;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Bordes UrbaNos Ecobarrios;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;En proceso;Sin iniciar;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;30/06/2025;No;;;;;
82;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Revitalización Ámbitos Intervención;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;En proceso;Sin iniciar;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;30/06/2025;No;;;;;
83;Diego Harvey Marín Rodríguez;Secretaría Distrital del Hábitat -SDHT;Revitalización Proyectos de Intervención;Anual;Actualizar;Si;22/03/2024;31/07/2024;Si;Si;Si;Si;;;;Si;;;Si;;En proceso;Sin iniciar;Completo;Completo;Completo;En proceso;;No;No;No;;No;No;;;No;30/06/2025;No;;;;;
